,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
0,1,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,80,8,6,4,2,3,2,4,1,1,3,Oui,11 %,Oui,0,0,1,1,2,Infra & Cloud,Y,Occasionnel,0,5
1,2,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,80,10,10,7,3,2,2,2,4,3,4,Non,23 %,Non,1,3,1,8,1,Infra & Cloud,Y,Frequent,1,7
2,4,37,M,2090,Célibataire,Consulting,Consultant,6,80,7,0,0,4,2,1,3,2,3,3,Oui,15 %,Oui,0,3,1,2,2,Autre,Y,Occasionnel,0,0
3,5,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7,4,3,1,3,3,3,3,Oui,11 %,Non,0,3,1,3,4,Infra & Cloud,Y,Frequent,3,0
4,7,27,M,3468,Marié(e),Consulting,Consultant,9,80,6,2,2,1,3,1,2,4,3,3,Non,12 %,Non,1,3,1,2,1,Transformation Digitale,Y,Occasionnel,2,2
5,8,32,M,3068,Célibataire,Consulting,Consultant,0,80,8,7,7,4,3,1,4,3,2,3,Non,13 %,Non,0,2,1,2,2,Infra & Cloud,Y,Frequent,3,6
6,10,59,F,2670,Marié(e),Consulting,Consultant,4,80,12,1,0,3,4,1,1,1,2,4,Oui,20 %,Non,3,3,1,3,3,Transformation Digitale,Y,Occasionnel,0,0
7,11,30,M,2693,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,3,1,3,2,3,4,Non,22 %,Non,1,2,1,24,1,Infra & Cloud,Y,Occasionnel,0,0
8,12,38,M,9526,Célibataire,Consulting,Tech Lead,0,80,10,9,7,4,2,3,3,2,3,4,Non,21 %,Non,0,2,1,23,3,Infra & Cloud,Y,Frequent,1,8
9,13,36,M,5237,Marié(e),Consulting,Manager,6,80,17,7,7,3,3,2,3,2,2,3,Non,13 %,Non,2,3,1,27,3,Transformation Digitale,Y,Occasionnel,7,7
10,14,35,M,2426,Marié(e),Consulting,Consultant,0,80,6,5,4,1,4,1,2,3,3,3,Non,13 %,Non,1,5,1,16,3,Transformation Digitale,Y,Occasionnel,0,3
11,15,29,F,4193,Célibataire,Consulting,Consultant,0,80,10,9,5,4,2,2,3,4,3,3,Oui,12 %,Non,0,3,1,15,2,Infra & Cloud,Y,Occasionnel,0,8
12,16,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,2,1,3,1,3,4,2,3,Non,17 %,Non,1,1,1,26,1,Infra & Cloud,Y,Occasionnel,4,3
13,18,34,M,2661,Divorcé(e),Consulting,Consultant,0,80,3,2,2,2,3,1,4,3,3,3,Non,11 %,Non,1,2,1,19,2,Transformation Digitale,Y,Occasionnel,1,2
14,19,28,M,2028,Célibataire,Consulting,Consultant,5,80,6,4,2,3,2,1,3,2,3,3,Oui,14 %,Oui,0,4,1,24,3,Infra & Cloud,Y,Occasionnel,0,3
15,20,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,80,10,10,9,2,4,3,1,3,3,3,Non,11 %,Non,1,1,1,21,4,Infra & Cloud,Y,Occasionnel,8,8
16,21,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,80,7,6,2,1,4,1,2,4,2,3,Oui,12 %,Non,2,5,1,5,2,Infra & Cloud,Y,Occasionnel,0,5
17,22,22,M,2935,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,4,1,4,2,2,3,Oui,13 %,Non,2,2,1,16,2,Transformation Digitale,Y,Aucun,0,0
18,23,53,F,15427,Marié(e),Commercial,Senior Manager,2,80,31,25,8,1,2,4,4,3,3,3,Non,16 %,Non,0,3,1,2,4,Infra & Cloud,Y,Occasionnel,3,7
19,24,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,80,6,3,2,4,3,1,4,3,3,3,Oui,11 %,Non,0,3,1,2,3,Infra & Cloud,Y,Occasionnel,1,2
20,26,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,80,5,4,2,1,4,2,3,4,2,3,Non,18 %,Non,1,5,1,11,2,Autre,Y,Aucun,1,3
21,27,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,80,10,5,3,3,2,1,1,2,3,4,Non,23 %,Oui,0,4,1,9,4,Infra & Cloud,Y,Occasionnel,0,3
22,28,34,F,11994,Célibataire,Consulting,Directeur Technique,0,80,13,12,6,1,3,3,2,3,3,3,Non,11 %,Non,0,4,1,7,4,Infra & Cloud,Y,Occasionnel,2,11
23,30,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,80,0,0,0,3,3,1,4,4,3,3,Non,14 %,Non,0,6,1,15,2,Infra & Cloud,Y,Occasionnel,0,0
24,31,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,80,8,4,2,2,3,1,1,3,3,3,Non,11 %,Oui,0,2,1,6,1,Transformation Digitale,Y,Occasionnel,1,3
25,32,53,F,19094,Divorcé(e),Consulting,Senior Manager,4,80,26,14,13,3,3,5,3,4,2,3,Non,11 %,Non,1,3,1,5,3,Autre,Y,Occasionnel,4,8
26,33,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,80,10,10,2,2,1,1,1,2,3,4,Oui,22 %,Oui,0,5,1,16,1,Infra & Cloud,Y,Frequent,6,7
27,35,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,3,3,2,2,4,3,3,Non,11 %,Non,1,2,1,8,4,Marketing,Y,Occasionnel,4,2
28,36,44,F,10248,Marié(e),Consulting,Manager,3,80,24,22,6,1,2,3,4,4,3,3,Non,14 %,Non,1,4,1,7,4,Transformation Digitale,Y,Occasionnel,5,17
29,38,46,F,18947,Célibataire,Commercial,Senior Manager,3,80,22,2,2,2,3,5,1,4,2,3,Non,12 %,Non,0,2,1,2,4,Marketing,Y,Occasionnel,2,1
30,39,33,M,2496,Célibataire,Consulting,Consultant,4,80,7,1,1,3,3,1,4,4,3,3,Non,11 %,Non,0,3,1,2,3,Transformation Digitale,Y,Occasionnel,0,0
31,40,44,M,6465,Marié(e),Consulting,Manager,2,80,9,4,2,4,3,2,4,4,4,3,Oui,13 %,Non,0,5,1,10,4,Autre,Y,Occasionnel,1,3
32,41,30,M,2206,Célibataire,Consulting,Consultant,1,80,10,10,0,4,2,1,3,1,3,3,Non,13 %,Non,0,5,1,9,2,Transformation Digitale,Y,Occasionnel,1,8
33,42,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,80,19,1,0,4,3,2,4,3,4,3,Non,14 %,Oui,1,6,1,5,3,Entrepreunariat,Y,Occasionnel,0,0
34,45,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,80,6,2,0,2,3,1,4,1,2,3,Oui,16 %,Oui,1,2,1,1,3,Transformation Digitale,Y,Occasionnel,2,0
35,46,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,80,6,5,3,4,4,1,3,4,2,3,Non,12 %,Non,2,3,1,2,2,Transformation Digitale,Y,Occasionnel,1,4
36,47,50,M,2683,Marié(e),Commercial,Représentant Commercial,1,80,3,3,2,1,2,1,3,3,3,3,Oui,14 %,Oui,0,2,1,3,2,Marketing,Y,Occasionnel,0,2
37,49,35,F,2014,Marié(e),Commercial,Représentant Commercial,1,80,2,2,2,4,3,1,4,1,3,3,Non,13 %,Non,0,3,1,2,3,Marketing,Y,Occasionnel,2,2
38,51,36,F,3419,Marié(e),Consulting,Assistant de Direction,9,80,6,1,1,2,2,1,1,4,4,3,Oui,14 %,Non,1,3,1,5,4,Infra & Cloud,Y,Occasionnel,0,0
39,52,33,F,5376,Marié(e),Commercial,Cadre Commercial,2,80,10,5,3,3,4,2,1,1,3,3,Non,19 %,Non,2,3,1,1,3,Infra & Cloud,Y,Frequent,1,3
40,53,35,M,1951,Divorcé(e),Consulting,Consultant,1,80,1,1,0,3,3,1,4,3,3,3,Non,12 %,Non,1,3,1,4,2,Autre,Y,Occasionnel,0,0
41,54,27,F,2341,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,3,1,1,4,3,3,Non,13 %,Non,1,6,1,2,4,Infra & Cloud,Y,Occasionnel,0,0
42,55,26,M,2293,Célibataire,Consulting,Consultant,1,80,1,1,0,1,1,1,3,3,2,3,Non,12 %,Oui,0,2,1,25,3,Infra & Cloud,Y,Occasionnel,0,1
43,56,27,M,8726,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,4,3,3,3,4,3,3,Non,15 %,Non,0,0,1,8,3,Infra & Cloud,Y,Frequent,1,7
44,57,30,F,4011,Célibataire,Consulting,Consultant,1,80,12,12,8,3,3,2,4,4,3,4,Non,23 %,Non,0,2,1,1,2,Transformation Digitale,Y,Frequent,3,7
45,58,41,F,19545,Marié(e),Consulting,Directeur Technique,1,80,23,22,15,2,3,5,3,4,3,3,Non,12 %,Oui,0,0,1,12,3,Entrepreunariat,Y,Occasionnel,15,8
46,60,34,M,4568,Célibataire,Commercial,Cadre Commercial,0,80,10,9,5,2,3,2,3,3,3,4,Non,20 %,Non,0,2,1,23,4,Marketing,Y,Aucun,8,7
47,61,37,M,3022,Marié(e),Consulting,Assistant de Direction,4,80,8,1,0,2,3,1,2,1,3,4,Non,21 %,Non,0,1,1,19,2,Infra & Cloud,Y,Occasionnel,0,0
48,62,46,M,5772,Célibataire,Commercial,Cadre Commercial,4,80,14,9,6,1,3,2,4,3,3,4,Oui,21 %,Non,0,4,1,5,4,Marketing,Y,Frequent,0,8
49,63,35,M,2269,Marié(e),Consulting,Consultant,1,80,1,1,0,4,4,1,4,4,3,3,Non,19 %,Non,0,2,1,8,1,Infra & Cloud,Y,Occasionnel,0,1
50,64,48,M,5381,Célibataire,Consulting,Consultant,9,80,23,1,0,1,2,3,3,4,3,3,Oui,13 %,Oui,0,2,1,1,2,Infra & Cloud,Y,Occasionnel,0,0
51,65,28,M,3441,Célibataire,Consulting,Consultant,1,80,2,2,2,3,3,1,3,3,2,3,Oui,13 %,Oui,0,3,1,5,4,Entrepreunariat,Y,Occasionnel,2,2
52,68,44,F,5454,Divorcé(e),Commercial,Cadre Commercial,5,80,9,4,3,2,3,2,1,3,2,4,Oui,21 %,Non,1,2,1,1,5,Marketing,Y,Occasionnel,1,3
